title,text,subject,date,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,label
DR. WOLF CALLS OUT HILLARY For Lying About Pneumonia Diagnosis [VIDEO],"Dr. Milton Wolf seems to have take offense at the diagnosis of Hillary Clinton. He states in no uncertain terms that  Non-Contagious Bacterial Pneumonia  does not even exist. His argument can be supported by the fact that if that was indeed what she had then why the antibiotics that supposedly don t help with bacterial type infections.You may remember Dr. Wolf from stories of him being Obama s second cousin. He has been featured on a few Mainstream Media shows to discuss many different things form his familial ties to Obama to his campaign for Kansas State Senate in 2014.These screen captures are from his recent tweets concerning Hillary and her supposed diagnosis.Is it possible that Hillary, her  doctor , and her staff are all lying once again to hide somethin more disturbing, like a neurological disorder? Clinton is very aware that the DNC has had meetings to discuss replacing her as the 2016 candidate, even going so far as discussing the possibility of Obama taking a 3rd term, so it is well within the possibility that she is panicking and trying hard to cover the truth.Not that we expect Hillary to ever tell the truth about anything, but it would be nice to know if someone who may be running this entire country is possibly suffering from a disease that may cause her to not be fully able to use her cognitive abilities to the fullest when making important decisions for the American people.In an ironic twist the YouTube link for this particular video clearly states that the two doctors featured have never even met Hillary. H/T [ Proud Cons ]",politics,"Sep 16, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BREAKING: TRUMP Just Made A HUGE Announcement…Proving He’s The Only Candidate Who Truly Believes #BlackLivesMatter,"Hillary pretends to care about the Black community. If she cared so much, why is she so willing to carry out the legacy of black genocide by Planned Parenthood founder and white supremacist Margaret Sanger? If she really cared about the Black community, why is she not fighting taxpayer funded Planned Parenthood abortion clinics on every inner-city corner in America? Planned Parenthood is the largest abortion provider in America. 78% of their clinics are in minority communities. Blacks make up 12% of the population, but 35% of the abortions in America.  Colored people are like human weeds and are to be exterminated.  Margaret Sanger, Planned Parenthood founderDonald Trump made a bold move today that proves his commitment to the Black community.  Trump issued a call to make permanent the Hyde Amendment that bans almost all federal taxpayer funding of abortions and is credited with saving the lives of over 1 million Americans from abortion. Trump- s call comes as Hillary Clinton is campaigning in reversing Hyde and forcing Americans to fund free abortions for women with their tax dollars.Every year, Congress is forced to fight the battle to protect Americans from being forced to pay for abortions with their tax dollars. Democrats annually fight the pro-life budget provision and hope they can eventually reverse it should they take control of both the White House and Congress.That has led to pro-life groups calling to the adoption of a permanent law putting Hyde in place long-term and making it more difficult for pro-abortion forces to reverse. Today, Trump announced his support for such a law.The call for banning taxpayer funding of abortions comes in a new letter from Trump. Trump commits to a new policy:  Making the Hyde Amendment permanent law to protect taxpayers from having to pay for abortions. Hillary Clinton s unwavering commitment to advancing taxpayer-funded abortion on-demand stands in stark contrast to the commitments I ve made,  Trump writes,  to advance the rights of unborn children and their mothers when elected president. Via: Life News",politics,"Sep 16, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
HILLARY THROWS HER WEALTH AND STATUS Into The Faces Of Hard Working Americans,"Hillary Clinton has said a lot of things that stick deep in the craw of honest, hardworking Americans before but this time she may have actually gone too far. In a seemingly  innocent  remark about how staying home and resting has brought her closer to the American people.Apparently laying in bed in one of many mansions with a staff to take care of her every need, and absolutely no worry of how she is going to pay her rent next month equals what it is like for a normal citizen to be suffering from illness in this day and age. I certainly feel lucky   when I am under the weather, I can afford to take a few days off. Millions of Americans can t. They either go to work sick or they lose a paycheck. They toss back some Tylenols, chug some orange juice and hope the cough or the virus goes away on its own. I have met so many people living on a razor s edge, one illness away from losing their job, one paycheck away from losing their job. That goes against everything we stand for as Americans, because some things should not come down to luck. So while she was being pampered and waited on hand and foot we are supposed to believe that she was honestly contemplating that her situation in any way matched that of any hard working American going through being sick? All I heard was her throwing her wealth and status back into our faces.Maybe she realized that her diatribe wasn t working so she decided to quickly change focus and throw her own campaign staff under the but to deflect. You know, my campaign has said they could have been faster and I agree with that. I certainly expect them to be as focused and quick as possible, but I have to say from my perspective, I thought I was going to be fine and I thought that there wasn t really any reason to make a big fuss about it. So I should have taken time off earlier. I didn t, now I have, and I m back on the campaign trail. Hillary also dodged a question about whether she ever bothered to tell her running mate, Sen. Tim Kaine, that she was sick.Clinton responded by saying that her  senior staff knew, and the information was provided to a number of people,  but she did not say whether Kaine was one of those people. When a second reporter asked about why Kaine was not informed, and whether that has hurt their partnership, Clinton said she was  not going to go into our personal conversations. Will this woman ever answer anything with a straight answer? Probably not, but we can all continue to be amused that she actually thinks any of us believe what she says.Keep  powering through,  Hillary.H/T [ Info Wars ] ",politics,"Sep 16, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
COLIN POWELL Picked On The Wrong Guy: GENERAL FLYNN Rips Him To Shreds Over Nasty Comments In Leaked Emails [VIDEO],"After General Powell s email server was hacked it seems that Hillary and Trump were not the only ones he attacked with insults and nasty rhetoric.Powell went after retired Lt. Gen. Michael Flynn, a top Trump military adviser. Powell called Flynn  a jerk who is unchained  and a  right-wing nutty.  Powell however had to admit once called on the insults that he has actually never even met Flynn nor did he ever serve with him.He responded by stating,  Talking to people in the know, his real problem was leadership and management issues at DIA. Senior staff was in incipient revolt. He has been over the top in his comments, conduct unbecoming. But he is unchained.  He continues by saying,  Pattern of behavior which is why he was fired. Real question is how he got that far in the Army. Flynn did respond during an interview on the  Kelly File. I ve actually been called worse things by my little sister.  He went on to say,  Colin Powell, he s an amazing guy, amazing service, but he s actually, you know, as a footnote in history, he s going to be always struggling for his credibility because of the statement that he made to the United Nations that brought us into the war in Iraq. After the disparaging remarks towards Hillary, Trump, Flynn and a even a few other service members were highlighted as having been said by Powell, Flynn did caution that prominent individuals need to be more careful about what they send electronically.H/T [ Fox ] ",politics,"Sep 16, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"RADICAL ANTI-GUN MUSLIM State Senator Who Was Arrested While Drunk With Gun, Joins Kaepernick’s “Disrespect The American Flag” Movement [VIDEO]","On October 20, 2015, radical Muslim State senator Jamilah Rasheed was arrested while protesting with the manufactured  hands up don t shoot  movement in Ferguson. The vocal anti-gun legislator was also drunk and in possession of you guessed it a gun!You probably don t remember her arrest, or maybe you never even knew she was arrested. The media s kinda funny when it comes to covering law-breaking Democrats. So in case you missed it, the woman on her knees with her  hands up  pushing a false narrative that was proven in court to be a lie has decided to join Colin Kaepernick in his public disdain for America.In what she calls a  show of solidarity  with Colin Kaepernick, Missouri State Sen. Jamilah Nasheed, chose to sit as her colleagues stood for the Pledge of Allegiance on the senate floor. Nasheed said that she wants to call attention to the issues that the 49ers player outlines and that she is not  anti-American. Her seat taking was met with complete silence in the chamber.When the session ended however, Lt. Gov. Peter Kinder, a former GOP candidate for governor who presided over the Senate Wednesday, released a statement calling Nasheed s protest an  occasion for great sorrow.  He said he worried about  the example she is setting, particularly for our young people. It is indeed a sad day in this country when out NFL players, Soccer players, and now even members of our government are choosing to address their own beliefs and real issues in our country by completely disrespecting parts of what make us what we are AND they are doing it on the clock as we, the American people, are paying for it.How can it even be considered ethical for such protest to be acted out while on the job? I fully agree that each of these people do in fact have the right to protest how they see fit, but the issue here is that they are using platforms to get the attention they want that are literally funded by the very citizenship that they are showing such a huge disrespect for.Use your free time to protest, not the time in which I as an American citizen am paying for.H/T [ Fox ]",politics,"Sep 16, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OUCH! The Left’s “Other Woman” Just Landed A DIRECT HIT On Hillary…And She Is SPOT ON!,"Wow that s gonna leave a mark!When she s not being arrested for defacing public property, she s actually kinda funny!Jill Stein is no stranger to breaking the law. She currently has a warrant for out for arrest. A North Dakota Judge is charging her with criminal trespass and mischief during protest against a pipeline project on September 1st.The bottom line is, she may be a bit of a fruitcake and a rabble rouser, but she wasn t far off with her evaluation of Hillary s rallies LOL!",politics,"Sep 16, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SOCIOPATHIC LIAR: Hillary Hid SERIOUS Health Issues From Public In 1998 And Again In 2003,"In the end it really all comes down to character. Who can you trust? Who will look at you with a straight face and tell you what you want to hear, and who will tell you the truth even when it s not popular? It s clearly a rhetorical question and one that every voter in America should be asking themselves before risking the security of our nation under the leadership of a self-serving sociopathic liar SOCIOPATHIC LIAR: Most people have lied in their life. Whether it was to protect feelings, avoid trouble, impress, or to simply get what they want, not many people can say they have never told a lie.However, there is one extreme type of liar that you should beware of; the sociopathic liar.On first impressions, you may find you actually like or are drawn to the sociopath. It s not surprising as more often than not they are indeed charming and likable. Watch out, these type of liars can cause untold damage and mayhem once they lead you into their web of lies and deceit.Sociopaths lie the most because they are incapable of feelings and do not want to understand the impact of their lies. They may even get a thrill out of lying at your expense. Once they tell an initial lie they go on to tell many more lies in an attempt to cover up the lies they started, or just for the  fun  of it.A sociopath rarely reveals his or her feelings or emotions. You won t often hear them laugh, cry, or get angry. These kinds of liars tend to live in their own little world and always find ways to justify their dishonest deeds. They do not respect others and place their own needs first and foremost.If someone questions the sociopath s lies they can be incredibly devious in the way they cover things up. This can include placing the blame at someone else s door or by inventing complex stories to cover up their untruths.Sociopaths can be so good at lying that they are able to pass lie detector tests. This means they often escape jail or don t even get prosecuted for the crimes they permit. (That s not to say all sociopathic liars are criminals, of course).Hillary Clinton allowed her staff to mistakenly think that she had a pulled muscle rather than tell them she had a blood clot in 1998.The Democratic Presidential candidate, who was First Lady at the time, did not correct White House staffers when they assumed the problem with her right leg was due to over exercising.According to Clinton s doctor at the time, Connie Mariano,  very few  people knew the truth and her boss refused to take time of the campaign trail for her husband s re-election.Instead a nurse came with her to check on her condition and administer drugs if needed but nobody outside of her Secret Service detail was told who she was.The incident shows that Clinton s habit of choosing secrecy over coming clean has a long history.It would not be until 2003, five years after the blood clot and two years after her husband left office, that Clinton would even disclose it had happened in single paragraph in her memoir.Clinton s health has become an issue during the Presidential election after she nearly collapsed during the 9/11 memorial event at Ground Zero in New York on Sunday.A video shot by a bystander shows the 68-year-old s legs buckling as tries to get into a waiting van.Her campaign team said she was  overheated  but later that on Sunday Clinton s personal doctor revealed she had been diagnosed with pneumonia two days before   but she kept it a secret.During her decades in public life Clinton has suffered a number of health scares and her response to handling them appears to have changed little. Rear Admiral (lower half) Connie Mariano. She revealed Clinton s health secrecy in her memoirsThe first of her three blood clots happened in 1998 whilst she was campaigning for her husband Bill to get his second term as President in the face of possible impeachment over the Lewinsky scandal.According to Mariano, who as a Navy captain and latterly rear admiral (lower half), was the White House doctor for President Clinton, she told his wife that she was  at risk  for a blood clot and insisted on coming to see her on a Saturday. In her memoir The White House Doctor: My Patients Were Presidents, she takes two pages to explain how she told the First Lady:  I m worried about your leg. You ve been out on the campaign trail for some months now, sitting in cars for hours at a time. Within an hour Mariano was examining Clinton s right calf which was  swollen .Marian s initial examination caused her enough worry to insist Clinton go to Bethesda Naval Hospital for an ultrasound. Once they were there and the diagnosis confirmed Mrs Clinton  balked  at the idea of being kept into hospital so they agreed to treat her as an outpatient with blood thinning drugs.The book says:  Hillary was back on the campaign trail within days very few people knew of Hillary s blood clot at the time; she wrote about it after she left the White House.  She did have a pain in her calf but her staff thought she had pulled a muscle exercising. Via: Daily Mail ",politics,"Sep 16, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
THIS ONE CREEPY TWEET FROM HILLARY Should Have Parents Saying: “Hands off my kids!”, ,politics,"Sep 15, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
JIMMY FALLON ASKS TRUMP If He Can Mess Up His Hair…What Happens Next Is Hilarious! [VIDEO],"Trump is such a good sport. It s no wonder he relates to so many people in so many different walks of life. He s not afraid to be the butt of a joke and he always seems to genuinely enjoy having fun in spontaneous situations. It s refreshing to not have to watch a polished politician carefully measuring every action, and wondering if it will affect their support with voters Good for you Donald ",politics,"Sep 15, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5 FACTS The Media Won’t Tell You About Cops Killing Blacks [VIDEO],"Scholar and journalist Heather Mac Donald toiled away early on in her career at liberal enclaves, but through her street-level reporting on social services and the police, her worldview shifted away from liberal-progressive to conservative.Her shift  was not some kind of epiphany from reading conservative principles,  but by hearing the voices of welfare recipients who told her  government aid becomes a narcotic. Her latest book,  The War On Cops  is now available for purchase. In her book, she outlines the false narrative that is being pushed by Black Lives Matter and the leftist media that law enforcement officers are  Out to get Blacks  in America.For almost two years, a protest movement known as  Black Lives Matter  has convulsed the nation. Triggered by the police shooting of Michael Brown in Ferguson, Missouri, in August 2014, the Black Lives Matter movement holds that racist police officers are the greatest threat facing young black men today. This belief has triggered riots,  die-ins,  the murder and attempted murder of police officers, a campaign to eliminate traditional grand jury proceedings when police use lethal force, and a presidential task force on policing.Even though the U.S. Justice Department has resoundingly disproven the lie that a pacific Michael Brown was shot in cold blood while trying to surrender, Brown is still venerated as a martyr. And now police officers are backing off of proactive policing in the face of the relentless venom directed at them on the street and in the media. As a result, violent crime is on the rise.The need is urgent, therefore, to examine the Black Lives Matter movement s central thesis that police pose the greatest threat to young black men. I propose two counter hypotheses: first, that there is no government agency more dedicated to the idea that black lives matter than the police; and second, that we have been talking obsessively about alleged police racism over the last 20 years in order to avoid talking about a far larger problem black-on-black crime.Let s be clear at the outset: police have an indefeasible obligation to treat everyone with courtesy and respect, and to act within the confines of the law. Too often, officers develop a hardened, obnoxious attitude. It is also true that being stopped when you are innocent of any wrongdoing is infuriating, humiliating, and sometimes terrifying. And needless to say, every unjustified police shooting of an unarmed civilian is a stomach-churning tragedy.Given the history of racism in this country and the complicity of the police in that history, police shootings of black men are particularly and understandably fraught. That history informs how many people view the police. But however intolerable and inexcusable every act of police brutality is, and while we need to make sure that the police are properly trained in the Constitution and in courtesy, there is a larger reality behind the issue of policing, crime, and race that remains a taboo topic. The problem of black-on-black crime is an uncomfortable truth, but unless we acknowledge it, we won t get very far in understanding patterns of policing. ImprimusHere are 5 indisputable facts that prove this narrative to be one big LIE:1. Cops killed nearly twice as many whites as blacks in 2015. According to data compiled by The Washington Post, 50 percent of the victims of fatal police shootings were white, while 26 percent were black. The majority of these victims had a gun or  were armed or otherwise threatening the officer with potentially lethal force,  according to Mac Donald in a speech at Hillsdale College.Some may argue that these statistics are evidence of racist treatment toward blacks, since whites consist of 62 percent of the population and blacks make up 13 percent of the population. But as Mac Donald writes in The Wall Street Journal, 2009 statistics from the Bureau of Justice Statistics reveal that blacks were charged with 62 percent of robberies, 57 percent of murders and 45 percent of assaults in the 75 biggest counties in the country, despite only comprising roughly 15 percent of the population in these counties. Such a concentration of criminal violence in minority communities means that officers will be disproportionately confronting armed and often resisting suspects in those communities, raising officers  own risk of using lethal force,  writes MacDonald.2. More whites and Hispanics die from police homicides than blacks. According to Mac Donald, 12 percent of white and Hispanic homicide deaths were due to police officers, while only four percent of black homicide deaths were the result of police officers. If we re going to have a  Lives Matter  anti-police movement, it would be more appropriately named  White and Hispanic Lives Matter,'  said Mac Donald in her Hillsdale speech.3. The Post s data does show that unarmed black men are more likely to die by the gun of a cop than an unarmed white man but this does not tell the whole story. In August 2015, the ratio was seven-to-one of unarmed black men dying from police gunshots compared to unarmed white men; the ratio was six-to-one by the end of 2015. But Mac Donald points out in The Marshall Project that looking at the details of the actual incidents that occurred paints a different picture:The  unarmed  label is literally accurate, but it frequently fails to convey highly-charged policing situations. In a number of cases, if the victim ended up being unarmed, it was certainly not for lack of trying. At least five black victims had reportedly tried to grab the officer s gun, or had been beating the cop with his own equipment. Some were shot from an accidental discharge triggered by their own assault on the officer. And two individuals included in the Post s  unarmed black victims  category were struck by stray bullets aimed at someone else in justified cop shootings. If the victims were not the intended targets, then racism could have played no role in their deaths.In one of those unintended cases, an undercover cop from the New York Police Department was conducting a gun sting in Mount Vernon, just north of New York City. One of the gun traffickers jumped into the cop s car, stuck a pistol to his head, grabbed $2,400 and fled. The officer gave chase and opened fire after the thief again pointed his gun at him. Two of the officer s bullets accidentally hit a 61-year-old bystander, killing him. That older man happened to be black, but his race had nothing to do with his tragic death. In the other collateral damage case, Virginia Beach, Virginia, officers approached a car parked at a convenience store that had a homicide suspect in the passenger seat. The suspect opened fire, sending a bullet through an officer s shirt. The cops returned fire, killing their assailant as well as a woman in the driver s seat. That woman entered the Post s database without qualification as an  unarmed black victim  of police fire.Mac Donald examines a number of other instances, including unarmed black men in San Diego, CA and Prince George s County, MD attempting to reach for a gun in a police officer s holster. In the San Diego case, the unarmed black man actually  jumped the officer  and assaulted him, and the cop shot the man since he was  fearing for his life.  MacDonald also notes that there was an instance in 2015 where  three officers were killed with their own guns, which the suspects had wrestled from them. 4. Black and Hispanic police officers are more likely to fire a gun at blacks than white officers. This is according to a Department of Justice report in 2015 about the Philadelphia Police Department, and is further confirmed that by a study conducted University of Pennsylvania criminologist Greg Ridgeway in 2015 that determined black cops were 3.3 times more likely to fire a gun than other cops at a crime scene.5. Blacks are more likely to kill cops than be killed by cops. This is according to FBI data, which also found that 40 percent of cop killers are black. According to Mac Donald, the police officer is 18.5 times more likely to be killed by a black than a cop killing an unarmed black person.Despite the facts, the anti-police rhetoric of Black Lives Matter and their leftist sympathizers have resulted in what Mac Donald calls the  Ferguson Effect,  as murders have spiked by 17 percent among the 50 biggest cities in the U.S. as a result of cops being more reluctant to police neighborhoods out of fear of being labeled as racists. Additionally, there have been over twice as many cops victimized by fatal shootings in the first three months of 2016. -Via: Daily Wire Watch Heather MacDonald explain how the lies the media and the Left are pushing about cops targeting Blacks will ultimately harm Black communities:Here is Heather MacDonald s speech at Hillsdale College in its entirety:",politics,"Sep 15, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
